Tier;Date (type approval);Date (first registration);CO;THC;NMHC;NH3;NOx;HC+NOx;PM;
Euro 1;1992;1993;2.72;NaN;NaN;NaN;NaN;0.97;NaN;
Euro 2;1996;1997;2.2;NaN;NaN;NaN;NaN;0.5;NaN;
Euro 3;2000;2001;2.3;0.20;NaN;NaN;0.15;NaN;NaN;
Euro 4;2005;2006;1.0;0.10;NaN;NaN;0.08;NaN;NaN;
Euro 5;2009;2011;1.0;0.10;0.068;NaN;0.060;NaN;0.005;
Euro 6;2014;2015;1.0;0.10;0.068;NaN;0.060;NaN;0.0045;
