"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","5158","0","0","0","0","0","0","5158","4867","0","0","0","0","0","0","4867","10025"
"1","5305","0","0","0","0","0","0","5305","5021","0","0","0","0","0","0","5021","10326"
"2","5501","0","0","0","0","0","0","5501","5322","0","0","0","0","0","0","5322","10823"
"3","5679","0","0","0","0","0","0","5679","5392","0","0","0","0","0","0","5392","11071"
"4","5934","0","0","0","0","0","0","5934","5473","0","0","0","0","0","0","5473","11407"
"5","5943","0","0","0","0","0","0","5943","5499","0","0","0","0","0","0","5499","11442"
"6","5823","0","0","0","0","0","0","5823","5563","0","0","0","0","0","0","5563","11386"
"7","5920","0","0","0","0","0","0","5920","5506","0","0","0","0","0","0","5506","11426"
"8","6098","0","0","0","0","0","0","6098","5572","0","0","0","0","0","0","5572","11670"
"9","5998","0","0","0","0","0","0","5998","5662","0","0","0","0","0","0","5662","11660"
"10","6175","0","0","0","0","0","0","6175","5722","0","0","0","0","0","0","5722","11897"
"11","6233","0","0","0","0","0","0","6233","5979","0","0","0","0","0","0","5979","12212"
"12","6364","0","0","0","0","0","0","6364","5897","0","0","0","0","0","0","5897","12261"
"13","6292","0","0","0","0","0","0","6292","5848","0","0","0","0","0","0","5848","12140"
"14","6330","0","0","0","0","0","0","6330","5876","0","0","0","0","0","0","5876","12206"
"15","6083","0","0","0","0","0","0","6083","5586","0","0","0","0","0","0","5586","11669"
"16","6096","0","0","0","0","0","0","6096","5732","1","0","0","0","0","0","5733","11829"
"17","6181","0","0","0","0","0","0","6181","5586","1","0","0","0","0","0","5587","11768"
"18","6068","0","0","0","0","0","0","6068","5528","2","0","0","0","0","0","5530","11598"
"19","6229","1","0","0","0","0","0","6230","5760","18","0","0","0","0","0","5778","12008"
"20","6775","3","0","0","0","0","0","6778","6028","42","2","0","0","0","0","6072","12850"
"21","7141","19","0","0","1","0","0","7161","5957","147","2","2","0","0","0","6108","13269"
"22","7529","25","0","0","0","0","0","7554","6310","230","2","0","1","0","0","6543","14097"
"23","7293","51","0","0","0","0","0","7344","6280","280","3","0","1","0","0","6564","13908"
"24","7331","69","1","0","5","1","0","7407","6532","352","7","0","0","0","0","6891","14298"
"25","7368","203","3","0","4","0","0","7578","6377","669","9","1","0","0","0","7056","14634"
"26","7572","248","2","0","5","1","0","7828","6713","816","8","1","1","0","0","7539","15367"
"27","7835","356","5","0","9","0","0","8205","7063","925","13","1","5","0","0","8007","16212"
"28","8171","498","3","2","7","0","0","8681","7084","1212","23","4","3","0","0","8326","17007"
"29","8053","680","13","1","10","0","0","8757","7176","1453","29","6","2","1","0","8667","17424"
