"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","5433","0","0","0","0","0","0","5433","5091","0","0","0","0","0","0","5091","10524"
"1","5570","0","0","0","0","0","0","5570","5409","0","0","0","0","0","0","5409","10979"
"2","5763","0","0","0","0","0","0","5763","5489","0","0","0","0","0","0","5489","11252"
"3","5938","0","0","0","0","0","0","5938","5498","0","0","0","0","0","0","5498","11436"
"4","5954","0","0","0","0","0","0","5954","5517","0","0","0","0","0","0","5517","11471"
"5","6013","0","0","0","0","0","0","6013","5728","0","0","0","0","0","0","5728","11741"
"6","6084","0","0","0","0","0","0","6084","5643","0","0","0","0","0","0","5643","11727"
"7","6267","0","0","0","0","0","0","6267","5730","0","0","0","0","0","0","5730","11997"
"8","6190","0","0","0","0","0","0","6190","5799","0","0","0","0","0","0","5799","11989"
"9","6307","0","0","0","0","0","0","6307","5820","0","0","0","0","0","0","5820","12127"
"10","6305","0","0","0","0","0","0","6305","6115","0","0","0","0","0","0","6115","12420"
"11","6434","0","0","0","0","0","0","6434","6037","0","0","0","0","0","0","6037","12471"
"12","6371","0","0","0","0","0","0","6371","5961","0","0","0","0","0","0","5961","12332"
"13","6388","0","0","0","0","0","0","6388","5989","0","0","0","0","0","0","5989","12377"
"14","6168","0","0","0","0","0","0","6168","5672","0","0","0","0","0","0","5672","11840"
"15","6249","0","0","0","0","0","0","6249","5889","0","0","0","0","0","0","5889","12138"
"16","6329","0","0","0","0","0","0","6329","5728","0","0","0","0","0","0","5728","12057"
"17","6101","0","0","0","0","0","0","6101","5611","0","0","0","0","0","0","5611","11712"
"18","6105","0","0","0","0","0","0","6105","5645","3","0","0","0","0","0","5648","11753"
"19","6528","1","0","0","0","0","0","6529","5857","20","0","0","0","0","0","5877","12406"
"20","6750","10","0","0","0","0","0","6760","5580","39","0","1","0","0","0","5620","12380"
"21","7041","10","0","0","0","0","0","7051","5778","71","1","0","0","0","0","5850","12901"
"22","6728","21","0","0","1","0","0","6750","5735","109","1","0","0","0","0","5845","12595"
"23","6775","41","1","0","3","1","0","6821","5881","171","4","0","0","0","0","6056","12877"
"24","6837","85","1","0","3","0","0","6926","5854","291","3","0","0","0","0","6148","13074"
"25","7049","127","2","0","4","0","0","7182","6251","441","5","0","2","0","0","6699","13881"
"26","7382","207","5","0","7","0","0","7601","6592","577","12","1","4","0","0","7186","14787"
"27","7743","337","3","0","6","0","0","8089","6877","897","22","2","2","0","0","7800","15889"
"28","7843","535","4","0","8","0","0","8390","6982","1176","18","5","3","1","0","8185","16575"
"29","8102","763","11","1","15","1","0","8893","6996","1637","30","2","2","0","0","8667","17560"
"30","8120","1104","17","0","14","2","0","9257","7039","2013","34","0","2","1","0","9089","18346"
"31","8006","1542","22","1","26","0","0","9597","6526","2517","59","3","7","0","0","9112","18709"
"32","7353","1880","42","0","23","0","0","9298","5766","3172","88","4","13","0","0","9043","18341"
"33","7029","2444","45","0","28","0","0","9546","5486","3465","113","9","11","0","0","9084","18630"
"34","6792","2865","65","2","22","0","0","9746","5150","3919","138","6","10","0","0","9223","18969"
"35","6402","3358","90","3","27","0","0","9880","4861","4271","152","9","16","2","0","9311","19191"
"36","6027","3761","100","0","34","0","0","9922","4723","4654","190","20","11","0","0","9598","19520"
"37","5868","4166","121","8","28","0","0","10191","4499","5073","231","25","18","0","0","9846","20037"
"38","5486","4574","151","3","32","1","1","10248","4259","5081","259","31","14","1","0","9645","19893"
"39","5320","4497","163","9","31","0","0","10020","3935","5017","295","25","16","0","1","9289","19309"
"40","4932","4727","181","12","36","1","0","9889","3807","5378","306","32","16","0","0","9539","19428"
"41","4815","5007","215","10","29","0","0","10076","3778","5390","357","40","12","2","0","9579","19655"
"42","4686","5265","233","8","37","0","0","10229","3853","5689","414","48","21","0","0","10025","20254"
"43","4727","5368","275","19","19","0","0","10408","3837","5866","464","55","16","0","0","10238","20646"
"44","4745","5734","315","26","27","1","1","10849","3870","6284","579","63","11","0","0","10807","21656"
"45","4829","6082","411","27","44","0","1","11394","4060","6679","568","72","10","0","0","11389","22783"
"46","4736","6406","428","31","45","1","0","11647","3947","6841","709","87","10","1","0","11595","23242"
"47","4386","6498","442","28","44","0","0","11398","3829","7087","818","91","11","0","0","11836","23234"
"48","4265","6905","528","38","38","0","1","11775","3507","7358","847","127","19","0","0","11858","23633"
"49","3915","6741","543","43","55","0","1","11298","3358","7162","967","160","10","2","0","11659","22957"
"50","3729","7040","707","39","44","0","0","11559","3270","7383","1006","147","11","0","0","11817","23376"
"51","3489","7141","647","45","43","0","1","11366","3038","7223","1040","197","13","1","0","11512","22878"
"52","3352","6920","703","49","34","0","1","11059","2903","7252","1081","221","14","0","0","11471","22530"
"53","3340","7053","738","88","48","0","1","11268","2759","7469","1204","263","15","0","0","11710","22978"
"54","3060","7207","812","68","43","0","1","11191","2696","7297","1157","312","15","0","0","11477","22668"
"55","2726","7239","836","88","40","0","1","10930","2618","7119","1280","310","12","1","0","11340","22270"
"56","2381","6834","792","89","46","0","0","10142","2236","7049","1201","314","6","0","0","10806","20948"
"57","2060","6440","820","104","43","0","0","9467","2068","6528","1197","404","11","0","0","10208","19675"
"58","1990","6242","765","95","49","0","1","9142","1905","6363","1150","426","7","0","0","9851","18993"
"59","1701","6045","688","117","18","0","1","8570","1801","6035","1108","491","13","0","0","9448","18018"
"60","1550","5801","705","116","30","0","1","8203","1606","5898","1099","517","8","0","0","9128","17331"
"61","1442","5678","641","129","33","0","0","7923","1486","5630","954","500","5","0","2","8577","16500"
"62","1233","5502","640","135","18","0","0","7528","1443","5545","1023","567","5","0","0","8583","16111"
"63","1204","5309","600","167","18","0","0","7298","1271","5215","969","663","5","0","0","8123","15421"
"64","987","5046","558","150","19","0","0","6760","1120","5135","953","740","4","0","0","7952","14712"
"65","935","5012","566","178","17","0","1","6709","1091","4891","842","799","4","0","0","7627","14336"
"66","841","4687","454","184","18","0","0","6184","961","4712","818","869","2","0","0","7362","13546"
"67","809","4605","482","178","23","0","0","6097","984","4656","793","867","4","0","0","7304","13401"
"68","735","4403","438","229","15","0","1","5821","875","4566","830","1010","6","0","0","7287","13108"
"69","688","4457","420","268","9","0","0","5842","855","4750","738","1163","2","0","0","7508","13350"
"70","696","4631","363","266","20","0","0","5976","903","4802","752","1324","3","0","0","7784","13760"
"71","634","5014","394","355","21","0","0","6418","884","5066","772","1534","3","0","0","8259","14677"
"72","637","5003","396","391","17","0","1","6445","827","5233","800","1771","3","0","0","8634","15079"
"73","623","5388","402","488","10","0","0","6911","873","5319","793","2063","1","0","1","9050","15961"
"74","431","4015","309","385","3","0","0","5143","653","3770","545","1794","0","0","0","6762","11905"
"75","473","4286","248","420","9","0","0","5436","685","4078","591","2029","0","0","0","7383","12819"
"76","391","4207","270","442","7","0","1","5318","716","4004","515","2215","1","0","0","7451","12769"
"77","434","4041","218","487","7","0","0","5187","680","3796","530","2497","1","0","0","7504","12691"
"78","357","4124","223","625","7","0","0","5336","681","3654","509","2842","0","0","0","7686","13022"
"79","405","4516","240","660","4","0","0","5825","710","3748","465","3277","0","0","0","8200","14025"
"80","334","4219","184","720","8","0","0","5465","736","3555","410","3345","1","0","0","8047","13512"
"81","291","4036","162","768","2","0","0","5259","717","3209","391","3516","0","0","0","7833","13092"
"82","258","3390","126","752","9","0","0","4535","625","2571","303","3587","0","0","0","7086","11621"
"83","193","2972","107","679","2","0","1","3954","562","2012","303","3464","0","0","0","6341","10295"
"84","198","2769","82","693","0","0","0","3742","541","1816","245","3742","0","0","0","6344","10086"
"85","185","2480","78","694","3","0","0","3440","552","1545","228","3586","1","0","0","5912","9352"
"86","133","2090","62","692","3","0","0","2980","506","1197","194","3485","1","0","0","5383","8363"
"87","139","1870","52","643","2","0","0","2706","496","956","178","3287","0","0","0","4917","7623"
"88","93","1577","41","605","4","0","0","2320","470","737","132","3176","0","0","0","4515","6835"
"89","79","1317","46","568","2","0","1","2013","421","603","145","3119","0","0","0","4288","6301"
"90","72","1012","30","465","0","0","0","1579","334","447","96","2673","1","0","0","3551","5130"
"91","57","711","15","420","2","0","0","1205","282","251","72","2245","0","0","0","2850","4055"
"92","32","510","19","359","0","0","0","920","254","192","59","1858","0","0","0","2363","3283"
"93","32","349","7","291","0","0","0","679","198","133","49","1655","0","0","0","2035","2714"
"94","23","225","13","212","0","0","0","473","177","85","46","1344","1","0","0","1653","2126"
"95","17","158","3","172","0","0","0","350","144","59","33","1023","0","0","0","1259","1609"
"96","15","110","4","145","0","0","0","274","105","38","19","809","0","0","0","971","1245"
"97","5","60","0","96","0","0","0","161","70","23","18","629","0","0","0","740","901"
"98","4","34","2","61","0","0","0","101","58","12","7","471","0","0","0","548","649"
"99","3","29","1","39","0","0","0","72","20","9","9","293","0","0","0","331","403"
"100 e oltre","3","20","1","38","0","0","0","62","43","7","5","371","0","0","0","426","488"
"Totale","352685","284885","21524","16416","1436","8","19","676973","318753","291991","37341","80722","446","12","4","729269","1406242"
