stazione_id;data;inquinante;valore
"7";2023-10-03;O3;157
"7";2023-10-03;PM10;49
"2";2023-10-02;C6H6;1.4
"2";2023-10-02;NO2;58
"2";2023-10-02;O3;183
"2";2023-10-02;PM10;43
"2";2023-10-02;PM25;25
"2";2023-10-02;SO2;7
"3";2023-10-02;CO_8h;1.6
"3";2023-10-02;NO2;130
"4";2023-10-02;C6H6;1.9
"4";2023-10-02;CO_8h;1.8
"4";2023-10-02;NO2;139
"4";2023-10-02;PM10;54
"4";2023-10-02;PM25;31
"6";2023-10-02;C6H6;0.5
"6";2023-10-02;CO_8h;1
"6";2023-10-02;NO2;73
"6";2023-10-02;PM10;49
"6";2023-10-02;PM25;32
"7";2023-10-02;NO2;80
"7";2023-10-02;O3;159
"7";2023-10-02;PM10;38
"2";2023-09-29;C6H6;1.3
"2";2023-09-29;NO2;78
"2";2023-09-29;O3;112
"2";2023-09-29;PM10;34
"2";2023-09-29;PM25;16
"2";2023-09-29;SO2;12
"3";2023-09-29;CO_8h;1.3
"3";2023-09-29;NO2;119
"4";2023-09-29;C6H6;1.9
"4";2023-09-29;CO_8h;1.5
"4";2023-09-29;NO2;124
"4";2023-09-29;PM10;39
"4";2023-09-29;PM25;15
"6";2023-09-29;C6H6;0.5
"6";2023-09-29;CO_8h;0.9
"6";2023-09-29;NO2;85
"6";2023-09-29;PM10;39
"6";2023-09-29;PM25;21
"7";2023-09-29;NO2;85
"7";2023-09-29;O3;123
"7";2023-09-29;PM10;29
"2";2023-09-28;C6H6;1.4
"2";2023-09-28;NO2;66
"2";2023-09-28;O3;110
"2";2023-09-28;PM10;31
"2";2023-09-28;PM25;15
"2";2023-09-28;SO2;8
"3";2023-09-28;CO_8h;1.1
"3";2023-09-28;NO2;131
"4";2023-09-28;C6H6;1.7
"4";2023-09-28;CO_8h;1.2
"4";2023-09-28;NO2;95
"4";2023-09-28;PM10;31
"4";2023-09-28;PM25;11
"6";2023-09-28;C6H6;0.5
"6";2023-09-28;CO_8h;1
"6";2023-09-28;NO2;67
"6";2023-09-28;PM10;36
"6";2023-09-28;PM25;20
"7";2023-09-28;NO2;73
"7";2023-09-28;O3;121
"7";2023-09-28;PM10;26
"2";2023-09-27;C6H6;1.2
"2";2023-09-27;NO2;72
"2";2023-09-27;O3;94
"2";2023-09-27;PM10;20
"2";2023-09-27;PM25;10
"2";2023-09-27;SO2;8
"3";2023-09-27;CO_8h;1.1
"3";2023-09-27;NO2;123
"4";2023-09-27;C6H6;1.8
"4";2023-09-27;CO_8h;1.2
"4";2023-09-27;NO2;109
"4";2023-09-27;PM10;25
"4";2023-09-27;PM25;10
"6";2023-09-27;C6H6;0.5
"6";2023-09-27;CO_8h;1
"6";2023-09-27;NO2;60
"6";2023-09-27;PM10;22
"6";2023-09-27;PM25;11
"7";2023-09-27;NO2;66
"7";2023-09-27;O3;102
"7";2023-09-27;PM10;18
"2";2023-09-26;C6H6;1
"2";2023-09-26;NO2;58
"2";2023-09-26;O3;99
"2";2023-09-26;PM10;15
"2";2023-09-26;PM25;8
"2";2023-09-26;SO2;6
"3";2023-09-26;CO_8h;1
"3";2023-09-26;NO2;82
"4";2023-09-26;C6H6;1.5
"4";2023-09-26;CO_8h;1.2
"4";2023-09-26;NO2;87
"4";2023-09-26;PM10;19
"4";2023-09-26;PM25;6
"6";2023-09-26;C6H6;0.5
"6";2023-09-26;CO_8h;
"6";2023-09-26;NO2;48
"6";2023-09-26;PM10;
"6";2023-09-26;PM25;
"7";2023-09-26;NO2;57
"7";2023-09-26;O3;102
"7";2023-09-26;PM10;12
"2";2023-09-25;C6H6;1.2
"2";2023-09-25;NO2;62
"2";2023-09-25;O3;73
"2";2023-09-25;PM10;12
"2";2023-09-25;PM25;5
"2";2023-09-25;SO2;2.5
"3";2023-09-25;CO_8h;1
"3";2023-09-25;NO2;94
"4";2023-09-25;C6H6;1.4
"4";2023-09-25;CO_8h;1.2
"4";2023-09-25;NO2;86
"4";2023-09-25;PM10;13
"4";2023-09-25;PM25;4
"6";2023-09-25;C6H6;0.5
"6";2023-09-25;CO_8h;
"6";2023-09-25;NO2;71
"6";2023-09-25;PM10;8
"6";2023-09-25;PM25;4
"7";2023-09-25;NO2;72
"7";2023-09-25;O3;83
"7";2023-09-25;PM10;10
"2";2023-09-22;C6H6;0.5
"2";2023-09-22;NO2;28
"2";2023-09-22;O3;68
"2";2023-09-22;PM10;20
"2";2023-09-22;PM25;12
"2";2023-09-22;SO2;2.5
"3";2023-09-22;CO_8h;0.7
"3";2023-09-22;NO2;64
"4";2023-09-22;C6H6;1.3
"4";2023-09-22;CO_8h;0.9
"4";2023-09-22;NO2;73
"4";2023-09-22;PM10;27
"4";2023-09-22;PM25;14
"6";2023-09-22;C6H6;0.5
"6";2023-09-22;CO_8h;
"6";2023-09-22;NO2;36
"6";2023-09-22;PM10;19
