stazione_id;data;inquinante;valore
1;2021-12-31;NO2;
2;2021-12-31;C6H6;2
2;2021-12-31;NO2;54
2;2021-12-31;O3;2
2;2021-12-31;PM10;50
2;2021-12-31;PM25;32
2;2021-12-31;SO2;2.5
3;2021-12-31;CO_8h;1
3;2021-12-31;NO2;51
4;2021-12-31;C6H6;2.2
4;2021-12-31;CO_8h;1.2
4;2021-12-31;NO2;59
4;2021-12-31;PM10;41
5;2021-12-31;NO2;
5;2021-12-31;O3;
6;2021-12-31;C6H6;2.7
6;2021-12-31;CO_8h;1.2
6;2021-12-31;NO2;67
6;2021-12-31;PM10;52
6;2021-12-31;PM25;37
7;2021-12-31;NO2;54
7;2021-12-31;O3;2
7;2021-12-31;PM10;45
8;2021-12-31;C6H6;
8;2021-12-31;CO_8h;
8;2021-12-31;NO2;
1;2021-12-30;NO2;
2;2021-12-30;C6H6;2.2
2;2021-12-30;NO2;55
2;2021-12-30;O3;4
2;2021-12-30;PM10;40
2;2021-12-30;PM25;30
2;2021-12-30;SO2;2.5
3;2021-12-30;CO_8h;1
3;2021-12-30;NO2;52
4;2021-12-30;C6H6;2.3
4;2021-12-30;CO_8h;1
4;2021-12-30;NO2;60
4;2021-12-30;PM10;41
5;2021-12-30;NO2;
5;2021-12-30;O3;
6;2021-12-30;C6H6;2.6
6;2021-12-30;CO_8h;1
6;2021-12-30;NO2;77
6;2021-12-30;PM10;46
6;2021-12-30;PM25;39
7;2021-12-30;NO2;43
7;2021-12-30;O3;5
7;2021-12-30;PM10;38
8;2021-12-30;C6H6;
8;2021-12-30;CO_8h;
8;2021-12-30;NO2;
1;2021-12-29;NO2;
2;2021-12-29;C6H6;2.6
2;2021-12-29;NO2;
2;2021-12-29;O3;4
2;2021-12-29;PM10;56
2;2021-12-29;PM25;44
2;2021-12-29;SO2;2.5
3;2021-12-29;CO_8h;1.1
3;2021-12-29;NO2;58
4;2021-12-29;C6H6;2.6
4;2021-12-29;CO_8h;1.2
4;2021-12-29;NO2;61
4;2021-12-29;PM10;62
5;2021-12-29;NO2;
5;2021-12-29;O3;
6;2021-12-29;C6H6;3.1
6;2021-12-29;CO_8h;1.1
6;2021-12-29;NO2;68
6;2021-12-29;PM10;54
6;2021-12-29;PM25;54
7;2021-12-29;NO2;59
7;2021-12-29;O3;4
7;2021-12-29;PM10;51
8;2021-12-29;C6H6;
8;2021-12-29;CO_8h;
8;2021-12-29;NO2;
1;2021-12-28;NO2;
2;2021-12-28;C6H6;2.9
2;2021-12-28;NO2;55
2;2021-12-28;O3;2
2;2021-12-28;PM10;61
2;2021-12-28;PM25;51
2;2021-12-28;SO2;5
3;2021-12-28;CO_8h;1.4
3;2021-12-28;NO2;64
4;2021-12-28;C6H6;2.9
4;2021-12-28;CO_8h;1.6
4;2021-12-28;NO2;78
4;2021-12-28;PM10;64
5;2021-12-28;NO2;
5;2021-12-28;O3;
6;2021-12-28;C6H6;3.3
6;2021-12-28;CO_8h;1.4
6;2021-12-28;NO2;71
6;2021-12-28;PM10;60
6;2021-12-28;PM25;
7;2021-12-28;NO2;68
7;2021-12-28;O3;2
7;2021-12-28;PM10;58
8;2021-12-28;C6H6;
8;2021-12-28;CO_8h;
8;2021-12-28;NO2;
1;2021-12-27;NO2;
2;2021-12-27;C6H6;2.5
2;2021-12-27;NO2;49
2;2021-12-27;O3;17
2;2021-12-27;PM10;56
2;2021-12-27;PM25;48
2;2021-12-27;SO2;2.5
3;2021-12-27;CO_8h;1
3;2021-12-27;NO2;54
4;2021-12-27;C6H6;2.7
4;2021-12-27;CO_8h;1.3
4;2021-12-27;NO2;67
4;2021-12-27;PM10;55
5;2021-12-27;NO2;
5;2021-12-27;O3;
6;2021-12-27;C6H6;2.8
6;2021-12-27;CO_8h;1.1
6;2021-12-27;NO2;67
6;2021-12-27;PM10;56
6;2021-12-27;PM25;
7;2021-12-27;NO2;62
7;2021-12-27;O3;12
7;2021-12-27;PM10;49
8;2021-12-27;C6H6;
8;2021-12-27;CO_8h;
8;2021-12-27;NO2;
1;2021-12-23;NO2;
2;2021-12-23;C6H6;3.2
2;2021-12-23;NO2;87
2;2021-12-23;O3;17
2;2021-12-23;PM10;52
2;2021-12-23;PM25;37
2;2021-12-23;SO2;6
3;2021-12-23;CO_8h;1.2
3;2021-12-23;NO2;122
4;2021-12-23;C6H6;2.9
4;2021-12-23;CO_8h;1.6
4;2021-12-23;NO2;90
4;2021-12-23;PM10;56
5;2021-12-23;NO2;
5;2021-12-23;O3;
6;2021-12-23;C6H6;3
6;2021-12-23;CO_8h;1.8
6;2021-12-23;NO2;75
6;2021-12-23;PM10;
6;2021-12-23;PM25;
7;2021-12-23;NO2;79
7;2021-12-23;O3;14
7;2021-12-23;PM10;44
8;2021-12-23;C6H6;
8;2021-12-23;CO_8h;
8;2021-12-23;NO2;
1;2021-12-22;NO2;
2;2021-12-22;C6H6;2.7
2;2021-12-22;NO2;74
2;2021-12-22;O3;2
2;2021-12-22;PM10;53
2;2021-12-22;PM25;38
2;2021-12-22;SO2;5
3;2021-12-22;CO_8h;1.1
3;2021-12-22;NO2;77
4;2021-12-22;C6H6;2.7
4;2021-12-22;CO_8h;1.3
4;2021-12-22;NO2;85
4;2021-12-22;PM10;53
5;2021-12-22;NO2;
5;2021-12-22;O3;
6;2021-12-22;C6H6;3.1
6;2021-12-22;CO_8h;1.7
6;2021-12-22;NO2;79
6;2021-12-22;PM10;
6;2021-12-22;PM25;
7;2021-12-22;NO2;70
7;2021-12-22;O3;2
7;2021-12-22;PM10;50
8;2021-12-22;C6H6;
8;2021-12-22;CO_8h;
8;2021-12-22;NO2;
1;2021-12-21;NO2;
2;2021-12-21;C6H6;2.2
2;2021-12-21;NO2;64
2;2021-12-21;O3;23
2;2021-12-21;PM10;39
2;2021-12-21;PM25;31
2;2021-12-21;SO2;2.5
3;2021-12-21;CO_8h;1.4
3;2021-12-21;NO2;71
4;2021-12-21;C6H6;2.3
4;2021-12-21;CO_8h;1.4
4;2021-12-21;NO2;64
4;2021-12-21;PM10;44
5;2021-12-21;NO2;
5;2021-12-21;O3;
6;2021-12-21;C6H6;2.9
6;2021-12-21;CO_8h;2.1
6;2021-12-21;NO2;81
6;2021-12-21;PM10;51
6;2021-12-21;PM25;38
7;2021-12-21;NO2;61
7;2021-12-21;O3;16
7;2021-12-21;PM10;42
8;2021-12-21;C6H6;
8;2021-12-21;CO_8h;
8;2021-12-21;NO2;
1;2021-12-20;NO2;
2;2021-12-20;C6H6;3.4
2;2021-12-20;NO2;82
2;2021-12-20;O3;23
2;2021-12-20;PM10;53
2;2021-12-20;PM25;41
2;2021-12-20;SO2;2.5
3;2021-12-20;CO_8h;1.3
3;2021-12-20;NO2;67
4;2021-12-20;C6H6;3.3
4;2021-12-20;CO_8h;1.3
4;2021-12-20;NO2;77
4;2021-12-20;PM10;51
5;2021-12-20;NO2;
5;2021-12-20;O3;
6;2021-12-20;C6H6;4.2
6;2021-12-20;CO_8h;2
6;2021-12-20;NO2;99
6;2021-12-20;PM10;62
6;2021-12-20;PM25;52
7;2021-12-20;NO2;
7;2021-12-20;O3;
7;2021-12-20;PM10;
8;2021-12-20;C6H6;
8;2021-12-20;CO_8h;
8;2021-12-20;NO2;
1;2021-12-17;NO2;
2;2021-12-17;C6H6;4.8
2;2021-12-17;NO2;85
2;2021-12-17;O3;2
2;2021-12-17;PM10;83
2;2021-12-17;PM25;64
2;2021-12-17;SO2;8
3;2021-12-17;CO_8h;2
3;2021-12-17;NO2;97
4;2021-12-17;C6H6;4.1
4;2021-12-17;CO_8h;2
4;2021-12-17;NO2;95
4;2021-12-17;PM10;87
5;2021-12-17;NO2;
5;2021-12-17;O3;
6;2021-12-17;C6H6;5.8
6;2021-12-17;CO_8h;2.5
6;2021-12-17;NO2;99
6;2021-12-17;PM10;98
6;2021-12-17;PM25;69
7;2021-12-17;NO2;
7;2021-12-17;O3;
7;2021-12-17;PM10;
8;2021-12-17;C6H6;
8;2021-12-17;CO_8h;
8;2021-12-17;NO2;
1;2021-12-16;NO2;
2;2021-12-16;C6H6;4.6
2;2021-12-16;NO2;90
2;2021-12-16;O3;6
2;2021-12-16;PM10;74
2;2021-12-16;PM25;57
2;2021-12-16;SO2;8
3;2021-12-16;CO_8h;2.1
3;2021-12-16;NO2;114
4;2021-12-16;C6H6;3.7
4;2021-12-16;CO_8h;
4;2021-12-16;NO2;100
4;2021-12-16;PM10;81
5;2021-12-16;NO2;
5;2021-12-16;O3;
6;2021-12-16;C6H6;5
6;2021-12-16;CO_8h;2.3
6;2021-12-16;NO2;102
6;2021-12-16;PM10;85
6;2021-12-16;PM25;61
7;2021-12-16;NO2;
7;2021-12-16;O3;
7;2021-12-16;PM10;
8;2021-12-16;C6H6;
8;2021-12-16;CO_8h;
8;2021-12-16;NO2;
1;2021-12-15;NO2;
2;2021-12-15;C6H6;4.3
2;2021-12-15;NO2;93
2;2021-12-15;O3;4
2;2021-12-15;PM10;75
2;2021-12-15;PM25;55
2;2021-12-15;SO2;7
3;2021-12-15;CO_8h;2.4
3;2021-12-15;NO2;91
4;2021-12-15;C6H6;3.6
4;2021-12-15;CO_8h;2.5
4;2021-12-15;NO2;95
4;2021-12-15;PM10;71
5;2021-12-15;NO2;
5;2021-12-15;O3;
6;2021-12-15;C6H6;5.3
6;2021-12-15;CO_8h;2.1
6;2021-12-15;NO2;98
6;2021-12-15;PM10;92
6;2021-12-15;PM25;63
7;2021-12-15;NO2;97
7;2021-12-15;O3;10
7;2021-12-15;PM10;67
8;2021-12-15;C6H6;
8;2021-12-15;CO_8h;
8;2021-12-15;NO2;
1;2021-12-14;NO2;
2;2021-12-14;C6H6;3.8
2;2021-12-14;NO2;122
2;2021-12-14;O3;9
2;2021-12-14;PM10;66
2;2021-12-14;PM25;48
2;2021-12-14;SO2;8
3;2021-12-14;CO_8h;2
3;2021-12-14;NO2;99
4;2021-12-14;C6H6;3.9
4;2021-12-14;CO_8h;2.5
4;2021-12-14;NO2;130
4;2021-12-14;PM10;72
5;2021-12-14;NO2;
5;2021-12-14;O3;
6;2021-12-14;C6H6;4.9
6;2021-12-14;CO_8h;2.5
6;2021-12-14;NO2;152
6;2021-12-14;PM10;133
6;2021-12-14;PM25;83
7;2021-12-14;NO2;
7;2021-12-14;O3;
7;2021-12-14;PM10;
8;2021-12-14;C6H6;
8;2021-12-14;CO_8h;
8;2021-12-14;NO2;
1;2021-12-13;NO2;
2;2021-12-13;C6H6;3.2
2;2021-12-13;NO2;82
2;2021-12-13;O3;13
2;2021-12-13;PM10;50
2;2021-12-13;PM25;38
2;2021-12-13;SO2;6
3;2021-12-13;CO_8h;1.8
3;2021-12-13;NO2;74
4;2021-12-13;C6H6;3.5
4;2021-12-13;CO_8h;3.5
4;2021-12-13;NO2;95
4;2021-12-13;PM10;57
5;2021-12-13;NO2;
5;2021-12-13;O3;
6;2021-12-13;C6H6;4.1
6;2021-12-13;CO_8h;2.4
6;2021-12-13;NO2;98
6;2021-12-13;PM10;65
6;2021-12-13;PM25;49
7;2021-12-13;NO2;
7;2021-12-13;O3;
7;2021-12-13;PM10;
8;2021-12-13;C6H6;
