_id,ZONA,CODICE_AREA,AREA_MQ,PERIM_M,PARCO,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
74,1,92,12.4296875,13.8850005305,GIARDINO ROBERTO BAZLEN,9.1973571207364,45.45481827746248,"(45.45481827746248, 9.1973571207364)"
75,7,338,6162.39453125,440.1646818194,PARCO ANNARUMMA,9.115004397286832,45.45823530820216,"(45.45823530820216, 9.115004397286832)"
76,6,8,97271.5424804688,2005.7125656637,PARCO TERAMO BARONA,9.141994815339714,45.43579863561158,"(45.43579863561158, 9.141994815339714)"
77,3,215,8.2421875,16.2260249997,PARCO DELL'ACQUA,9.253564488963276,45.47835005472383,"(45.47835005472383, 9.253564488963276)"
78,3,215,8.2255859375,16.2117557283,PARCO DELL'ACQUA,9.253662492116455,45.47813808084189,"(45.47813808084189, 9.253662492116455)"
79,3,215,21.7973632813,20.1960388304,PARCO DELL'ACQUA,9.253993522586255,45.47813673586103,"(45.47813673586103, 9.253993522586255)"
80,3,215,16.0341796875,17.5862770274,PARCO DELL'ACQUA,9.253888453857934,45.47866840154444,"(45.47866840154444, 9.253888453857934)"
81,3,215,8.2504882813,16.1784427383,PARCO DELL'ACQUA,9.254030581913147,45.47834365016519,"(45.47834365016519, 9.254030581913147)"
82,3,215,14.6591796875,16.6631563332,PARCO DELL'ACQUA,9.254103094110215,45.47817136823652,"(45.47817136823652, 9.254103094110215)"
83,3,215,8.7041015625,17.062058556,PARCO DELL'ACQUA,9.254138049100634,45.47861172127907,"(45.47861172127907, 9.254138049100634)"
84,3,215,11.1049804688,15.8054824351,PARCO DELL'ACQUA,9.254079805168823,45.47871519307744,"(45.47871519307744, 9.254079805168823)"
85,3,215,7.6059570313,12.6663016353,PARCO DELL'ACQUA,9.252469084545423,45.48195944299365,"(45.48195944299365, 9.252469084545423)"
86,3,215,6.5034179688,12.5985270279,PARCO DELL'ACQUA,9.252215856448139,45.48224102434568,"(45.48224102434568, 9.252215856448139)"
87,3,215,6.4780273438,12.585865088,PARCO DELL'ACQUA,9.252001389449982,45.482191206891244,"(45.482191206891244, 9.252001389449982)"
88,3,215,6.587890625,12.7187118567,PARCO DELL'ACQUA,9.251759149625672,45.482205409988445,"(45.482205409988445, 9.251759149625672)"
89,3,215,7.6352539063,13.0666639339,PARCO DELL'ACQUA,9.251284570321172,45.48190687279259,"(45.48190687279259, 9.251284570321172)"
90,3,215,7.634765625,13.0730226545,PARCO DELL'ACQUA,9.25132006557249,45.48183225066858,"(45.48183225066858, 9.25132006557249)"
91,3,215,6.3911132813,12.4341958461,PARCO DELL'ACQUA,9.251335339843372,45.48170854663578,"(45.48170854663578, 9.251335339843372)"
92,2,188,10814.0268554688,456.0396148544,GIARDINO CASSINA DE' POMM,9.209396538114648,45.49719644209786,"(45.49719644209786, 9.209396538114648)"
93,2,119,5467.6845703125,293.6474660179,GIARDINO ALDO PROTTI,9.199303415034446,45.49370536065938,"(45.49370536065938, 9.199303415034446)"
94,2,119,3241.3149414063,274.3950574919,GIARDINO ALDO PROTTI,9.201075364021204,45.49408515013251,"(45.49408515013251, 9.201075364021204)"
95,3,215,8.2495117188,16.1689843803,PARCO DELL'ACQUA,9.253644159927669,45.4783837672518,"(45.4783837672518, 9.253644159927669)"
96,3,215,18.8637695313,18.6510076858,PARCO DELL'ACQUA,9.253697319638894,45.47805248663308,"(45.47805248663308, 9.253697319638894)"
97,3,215,8.2250976563,16.1420250942,PARCO DELL'ACQUA,9.253767442587515,45.47841146218024,"(45.47841146218024, 9.253767442587515)"
98,3,215,24.806640625,21.3795602023,PARCO DELL'ACQUA,9.25439939526704,45.47826170041294,"(45.47826170041294, 9.25439939526704)"
99,3,215,10.6298828125,15.6899265666,PARCO DELL'ACQUA,9.254323507187584,45.47823357239579,"(45.47823357239579, 9.254323507187584)"
100,3,215,8.7016601563,16.9669978747,PARCO DELL'ACQUA,9.254276503726159,45.47851715392332,"(45.47851715392332, 9.254276503726159)"
101,3,215,8.2685546875,16.1546880093,PARCO DELL'ACQUA,9.254350228396959,45.478654164379925,"(45.478654164379925, 9.254350228396959)"
