stazione_id;data;inquinante;valore
"2";2015-01-01;SO2;2.5
"2";2015-01-02;SO2;2.5
"2";2015-01-03;SO2;2.5
"2";2015-01-04;SO2;2.5
"2";2015-01-05;SO2;5
"2";2015-01-06;SO2;2.5
"1";2015-01-07;NO2;68
"2";2015-01-07;C6H6;3.1
"2";2015-01-07;NO2;94
"2";2015-01-07;O3;52
"2";2015-01-07;PM10;57
"2";2015-01-07;PM25;44
"2";2015-01-07;SO2;2.5
"3";2015-01-07;CO_8h;
"3";2015-01-07;NO2;166
"4";2015-01-07;C6H6;
"4";2015-01-07;CO_8h;1.4
"4";2015-01-07;NO2;125
"5";2015-01-07;NO2;100
"5";2015-01-07;O3;53
"6";2015-01-07;C6H6;2.9
"6";2015-01-07;CO_8h;1.7
"6";2015-01-07;NO2;89
"6";2015-01-07;PM10;54
"6";2015-01-07;PM25;45
"7";2015-01-07;NO2;93
"7";2015-01-07;O3;42
"7";2015-01-07;PM10;48
"8";2015-01-07;C6H6;
"8";2015-01-07;CO_8h;1.6
"8";2015-01-07;NO2;112
"1";2015-01-08;NO2;70
"2";2015-01-08;C6H6;7.1
"2";2015-01-08;NO2;145
"2";2015-01-08;O3;13
"2";2015-01-08;PM10;95
"2";2015-01-08;PM25;77
"2";2015-01-08;SO2;2.5
"3";2015-01-08;CO_8h;
"3";2015-01-08;NO2;146
"4";2015-01-08;C6H6;
"4";2015-01-08;CO_8h;1.6
"4";2015-01-08;NO2;132
"5";2015-01-08;NO2;125
"5";2015-01-08;O3;19
"6";2015-01-08;C6H6;3.7
"6";2015-01-08;CO_8h;1.7
"6";2015-01-08;NO2;86
"6";2015-01-08;PM10;89
"6";2015-01-08;PM25;75
"7";2015-01-08;NO2;93
"7";2015-01-08;O3;19
"7";2015-01-08;PM10;81
"8";2015-01-08;C6H6;
"8";2015-01-08;CO_8h;1.8
"8";2015-01-08;NO2;129
"2";2015-01-09;SO2;2.5
"2";2015-01-10;SO2;2.5
"2";2015-01-11;SO2;2.5
"1";2015-01-12;NO2;52
"2";2015-01-12;C6H6;2.2
"2";2015-01-12;NO2;50
