stazione_id;data;inquinante;valore
"5";2014-01-09;O3;26
"6";2014-01-09;C6H6;3
"6";2014-01-09;CO_8h;2
"6";2014-01-09;NO2;81
"6";2014-01-09;PM10;
"6";2014-01-09;PM25;
"7";2014-01-09;NO2;84
"7";2014-01-09;O3;21
"7";2014-01-09;PM10;36
"8";2014-01-09;C6H6;1.5
"8";2014-01-09;CO_8h;1.9
"8";2014-01-09;NO2;92
"1";2014-01-10;NO2;82
"2";2014-01-10;C6H6;3
"2";2014-01-10;NO2;73
"2";2014-01-10;O3;7
"2";2014-01-10;PM10;63
"2";2014-01-10;PM25;51
"2";2014-01-10;SO2;6
"3";2014-01-10;CO_8h;2.5
"3";2014-01-10;NO2;100
"4";2014-01-10;C6H6;4
"4";2014-01-10;CO_8h;1.9
"4";2014-01-10;NO2;76
"5";2014-01-10;NO2;92
"5";2014-01-10;O3;19
"6";2014-01-10;C6H6;5
"6";2014-01-10;CO_8h;2.3
"6";2014-01-10;NO2;85
"6";2014-01-10;PM10;
"6";2014-01-10;PM25;
"7";2014-01-10;NO2;
"7";2014-01-10;O3;
"7";2014-01-10;PM10;48
"8";2014-01-10;C6H6;3
"8";2014-01-10;CO_8h;2.3
"8";2014-01-10;NO2;91
"1";2014-01-11;NO2;85
"2";2014-01-11;C6H6;3
"2";2014-01-11;NO2;49
"2";2014-01-11;O3;8
"2";2014-01-11;PM10;66
"2";2014-01-11;PM25;50
"2";2014-01-11;SO2;7
"3";2014-01-11;CO_8h;2.5
"3";2014-01-11;NO2;130
"4";2014-01-11;C6H6;4
"4";2014-01-11;CO_8h;2.1
"4";2014-01-11;NO2;83
"5";2014-01-11;NO2;99
"5";2014-01-11;O3;15
"6";2014-01-11;C6H6;5
"6";2014-01-11;CO_8h;2.7
"6";2014-01-11;NO2;96
"6";2014-01-11;PM10;72
"6";2014-01-11;PM25;54
"7";2014-01-11;NO2;101
"7";2014-01-11;O3;10
"7";2014-01-11;PM10;56
"8";2014-01-11;C6H6;3
"8";2014-01-11;CO_8h;2.5
"8";2014-01-11;NO2;118
"2";2014-01-12;SO2;2.5
"1";2014-01-13;NO2;77
"2";2014-01-13;C6H6;3
"2";2014-01-13;NO2;39
"2";2014-01-13;O3;7
"2";2014-01-13;PM10;56
"2";2014-01-13;PM25;45
"2";2014-01-13;SO2;2.5
"3";2014-01-13;CO_8h;2.2
"3";2014-01-13;NO2;84
"4";2014-01-13;C6H6;4
"4";2014-01-13;CO_8h;2.2
"4";2014-01-13;NO2;65
"5";2014-01-13;NO2;60
"5";2014-01-13;O3;17
"6";2014-01-13;C6H6;4
"6";2014-01-13;CO_8h;2.2
"6";2014-01-13;NO2;81
"6";2014-01-13;PM10;
"6";2014-01-13;PM25;
"7";2014-01-13;NO2;73
"7";2014-01-13;O3;9
"7";2014-01-13;PM10;55
"8";2014-01-13;C6H6;3
"8";2014-01-13;CO_8h;2.5
"8";2014-01-13;NO2;87
"2";2014-01-14;SO2;2.5
"2";2014-01-15;SO2;2.5
"1";2014-01-16;NO2;97
"2";2014-01-16;C6H6;1.5
"2";2014-01-16;NO2;96
"2";2014-01-16;O3;14
"2";2014-01-16;PM10;53
"2";2014-01-16;PM25;41
"2";2014-01-16;SO2;2.5
"3";2014-01-16;CO_8h;1.4
"3";2014-01-16;NO2;125
"4";2014-01-16;C6H6;1.5
"4";2014-01-16;CO_8h;2.1
"4";2014-01-16;NO2;86
"5";2014-01-16;NO2;119
"5";2014-01-16;O3;15
"6";2014-01-16;C6H6;4
"6";2014-01-16;CO_8h;2.7
"6";2014-01-16;NO2;115
"6";2014-01-16;PM10;47
"6";2014-01-16;PM25;44
"7";2014-01-16;NO2;115
"7";2014-01-16;O3;13
"7";2014-01-16;PM10;37
"8";2014-01-16;C6H6;
"8";2014-01-16;CO_8h;1.9
"8";2014-01-16;NO2;99
"1";2014-01-17;NO2;89
"2";2014-01-17;C6H6;4
"2";2014-01-17;NO2;79
"2";2014-01-17;O3;6
"2";2014-01-17;PM10;57
"2";2014-01-17;PM25;46
"2";2014-01-17;SO2;6
"3";2014-01-17;CO_8h;1.6
"3";2014-01-17;NO2;122
"4";2014-01-17;C6H6;
"4";2014-01-17;CO_8h;2.4
"4";2014-01-17;NO2;93
"5";2014-01-17;NO2;89
"5";2014-01-17;O3;13
"6";2014-01-17;C6H6;6
"6";2014-01-17;CO_8h;2.7
"6";2014-01-17;NO2;117
"6";2014-01-17;PM10;54
"6";2014-01-17;PM25;45
"7";2014-01-17;NO2;107
"7";2014-01-17;O3;6
"7";2014-01-17;PM10;46
"8";2014-01-17;C6H6;
"8";2014-01-17;CO_8h;1.8
"8";2014-01-17;NO2;114
"1";2014-01-18;NO2;100
"2";2014-01-18;C6H6;3
"2";2014-01-18;NO2;70
"2";2014-01-18;O3;6
"2";2014-01-18;PM10;23
"2";2014-01-18;PM25;25
"2";2014-01-18;SO2;2.5
"3";2014-01-18;CO_8h;1.1
"3";2014-01-18;NO2;128
"4";2014-01-18;C6H6;
"4";2014-01-18;CO_8h;1.8
"4";2014-01-18;NO2;71
"5";2014-01-18;NO2;76
"5";2014-01-18;O3;18
"6";2014-01-18;C6H6;3
"6";2014-01-18;CO_8h;1.2
"6";2014-01-18;NO2;82
"6";2014-01-18;PM10;26
"6";2014-01-18;PM25;20
"7";2014-01-18;NO2;81
"7";2014-01-18;O3;6
"7";2014-01-18;PM10;17
"8";2014-01-18;C6H6;1.5
"8";2014-01-18;CO_8h;1
"8";2014-01-18;NO2;101
"1";2014-01-19;NO2;62
"2";2014-01-19;C6H6;3
"2";2014-01-19;NO2;64
"2";2014-01-19;O3;7
"2";2014-01-19;PM10;32
"2";2014-01-19;PM25;28
"2";2014-01-19;SO2;6
"3";2014-01-19;CO_8h;1
"3";2014-01-19;NO2;91
"4";2014-01-19;C6H6;
"4";2014-01-19;CO_8h;2
"4";2014-01-19;NO2;71
"5";2014-01-19;NO2;76
"5";2014-01-19;O3;23
"6";2014-01-19;C6H6;4
"6";2014-01-19;CO_8h;1.3
"6";2014-01-19;NO2;85
"6";2014-01-19;PM10;31
"6";2014-01-19;PM25;27
"7";2014-01-19;NO2;81
"7";2014-01-19;O3;6
"7";2014-01-19;PM10;22
"8";2014-01-19;C6H6;1.5
"8";2014-01-19;CO_8h;1.2
"8";2014-01-19;NO2;83
"1";2014-01-20;NO2;93
