stazione_id;data;inquinante;valore
1;2018-01-03;NO2;
3;2018-01-03;NO2;103
3;2018-01-03;CO_8h;1.4
4;2018-01-03;NO2;105
4;2018-01-03;CO_8h;1.1
4;2018-01-03;C6H6;2.3
5;2018-01-03;NO2;
5;2018-01-03;O3;
2;2018-01-03;SO2;2.5
2;2018-01-03;PM10;28
2;2018-01-03;PM25;23
2;2018-01-03;NO2;70
2;2018-01-03;O3;59
2;2018-01-03;C6H6;2.2
6;2018-01-03;PM10;36
6;2018-01-03;PM25;23
6;2018-01-03;NO2;90
6;2018-01-03;CO_8h;1.4
6;2018-01-03;C6H6;1.8
7;2018-01-03;PM10;31
7;2018-01-03;NO2;91
7;2018-01-03;O3;34
8;2018-01-03;NO2;
8;2018-01-03;CO_8h;
8;2018-01-03;C6H6;
1;2018-01-04;NO2;
3;2018-01-04;NO2;118
3;2018-01-04;CO_8h;1.7
4;2018-01-04;NO2;133
4;2018-01-04;CO_8h;1.6
4;2018-01-04;C6H6;3.2
5;2018-01-04;NO2;
5;2018-01-04;O3;
2;2018-01-04;SO2;2.5
2;2018-01-04;PM10;32
2;2018-01-04;PM25;23
2;2018-01-04;NO2;72
2;2018-01-04;O3;19
2;2018-01-04;C6H6;2.9
6;2018-01-04;PM10;32
6;2018-01-04;PM25;21
6;2018-01-04;NO2;102
6;2018-01-04;CO_8h;1.4
6;2018-01-04;C6H6;1.9
7;2018-01-04;PM10;36
7;2018-01-04;NO2;103
7;2018-01-04;O3;17
8;2018-01-04;NO2;
8;2018-01-04;CO_8h;
8;2018-01-04;C6H6;
1;2018-01-05;NO2;
3;2018-01-05;NO2;100
3;2018-01-05;CO_8h;1.4
4;2018-01-05;NO2;102
4;2018-01-05;CO_8h;1.2
4;2018-01-05;C6H6;2.6
5;2018-01-05;NO2;
5;2018-01-05;O3;
2;2018-01-05;SO2;2.5
2;2018-01-05;PM10;31
2;2018-01-05;PM25;22
2;2018-01-05;NO2;76
2;2018-01-05;O3;40
2;2018-01-05;C6H6;2.1
6;2018-01-05;PM10;34
6;2018-01-05;PM25;23
6;2018-01-05;NO2;107
6;2018-01-05;CO_8h;1.3
6;2018-01-05;C6H6;1.6
7;2018-01-05;PM10;
7;2018-01-05;NO2;108
7;2018-01-05;O3;22
8;2018-01-05;NO2;
8;2018-01-05;CO_8h;
8;2018-01-05;C6H6;
1;2018-01-08;NO2;
3;2018-01-08;NO2;57
3;2018-01-08;CO_8h;1.3
4;2018-01-08;NO2;67
4;2018-01-08;CO_8h;1.3
4;2018-01-08;C6H6;3.2
5;2018-01-08;NO2;
5;2018-01-08;O3;
2;2018-01-08;SO2;2.5
2;2018-01-08;PM10;47
2;2018-01-08;PM25;35
2;2018-01-08;NO2;46
2;2018-01-08;O3;8
2;2018-01-08;C6H6;3
6;2018-01-08;PM10;58
6;2018-01-08;PM25;39
6;2018-01-08;NO2;60
6;2018-01-08;CO_8h;1.6
6;2018-01-08;C6H6;2.2
7;2018-01-08;PM10;46
7;2018-01-08;NO2;60
7;2018-01-08;O3;5
8;2018-01-08;NO2;
8;2018-01-08;CO_8h;
8;2018-01-08;C6H6;
1;2018-01-09;NO2;
3;2018-01-09;NO2;73
3;2018-01-09;CO_8h;1.2
4;2018-01-09;NO2;71
4;2018-01-09;CO_8h;1
4;2018-01-09;C6H6;2.2
5;2018-01-09;NO2;
5;2018-01-09;O3;
2;2018-01-09;SO2;2.5
2;2018-01-09;PM10;29
2;2018-01-09;PM25;16
2;2018-01-09;NO2;38
2;2018-01-09;O3;56
2;2018-01-09;C6H6;1.6
6;2018-01-09;PM10;28
6;2018-01-09;PM25;16
