stazione_id;data;inquinante;valore
"1";2022-12-30;NO2;
"2";2022-12-30;C6H6;2.7
"2";2022-12-30;NO2;43
"2";2022-12-30;O3;2
"2";2022-12-30;PM10;56
"2";2022-12-30;PM25;44
"2";2022-12-30;SO2;2.5
"3";2022-12-30;CO_8h;1
"3";2022-12-30;NO2;42
"4";2022-12-30;C6H6;3.1
"4";2022-12-30;CO_8h;1.3
"4";2022-12-30;NO2;63
"4";2022-12-30;PM10;66
"4";2022-12-30;PM25;58
"5";2022-12-30;NO2;
"5";2022-12-30;O3;
"6";2022-12-30;C6H6;1.8
"6";2022-12-30;CO_8h;1.1
"6";2022-12-30;NO2;53
"6";2022-12-30;PM10;56
"6";2022-12-30;PM25;46
"7";2022-12-30;NO2;49
"7";2022-12-30;O3;2
"7";2022-12-30;PM10;47
"8";2022-12-30;C6H6;
"8";2022-12-30;CO_8h;
"8";2022-12-30;NO2;
"1";2022-12-29;NO2;
"2";2022-12-29;C6H6;2.8
"2";2022-12-29;NO2;60
"2";2022-12-29;O3;6
"2";2022-12-29;PM10;52
"2";2022-12-29;PM25;42
"2";2022-12-29;SO2;2.5
"3";2022-12-29;CO_8h;1.2
"3";2022-12-29;NO2;44
"4";2022-12-29;C6H6;2.9
"4";2022-12-29;CO_8h;1.7
"4";2022-12-29;NO2;61
"4";2022-12-29;PM10;58
"4";2022-12-29;PM25;52
"5";2022-12-29;NO2;
"5";2022-12-29;O3;
"6";2022-12-29;C6H6;1.8
"6";2022-12-29;CO_8h;1
"6";2022-12-29;NO2;55
"6";2022-12-29;PM10;57
"6";2022-12-29;PM25;46
"7";2022-12-29;NO2;51
"7";2022-12-29;O3;7
"7";2022-12-29;PM10;44
"8";2022-12-29;C6H6;
"8";2022-12-29;CO_8h;
"8";2022-12-29;NO2;
"1";2022-12-28;NO2;
"2";2022-12-28;C6H6;3.4
"2";2022-12-28;NO2;61
"2";2022-12-28;O3;14
"2";2022-12-28;PM10;46
"2";2022-12-28;PM25;37
"2";2022-12-28;SO2;6
"3";2022-12-28;CO_8h;1.2
"3";2022-12-28;NO2;49
"4";2022-12-28;C6H6;3.2
"4";2022-12-28;CO_8h;1.8
"4";2022-12-28;NO2;63
"4";2022-12-28;PM10;47
"4";2022-12-28;PM25;41
"5";2022-12-28;NO2;
"5";2022-12-28;O3;
"6";2022-12-28;C6H6;2.3
"6";2022-12-28;CO_8h;1.2
"6";2022-12-28;NO2;84
"6";2022-12-28;PM10;52
"6";2022-12-28;PM25;39
"7";2022-12-28;NO2;46
"7";2022-12-28;O3;20
"7";2022-12-28;PM10;38
"8";2022-12-28;C6H6;
"8";2022-12-28;CO_8h;
"8";2022-12-28;NO2;
"1";2022-12-27;NO2;
"2";2022-12-27;C6H6;2.8
"2";2022-12-27;NO2;41
"2";2022-12-27;O3;2
"2";2022-12-27;PM10;47
"2";2022-12-27;PM25;37
"2";2022-12-27;SO2;2.5
"3";2022-12-27;CO_8h;
"3";2022-12-27;NO2;
"4";2022-12-27;C6H6;2.6
"4";2022-12-27;CO_8h;1.5
"4";2022-12-27;NO2;46
"4";2022-12-27;PM10;52
"4";2022-12-27;PM25;46
"5";2022-12-27;NO2;
"5";2022-12-27;O3;
"6";2022-12-27;C6H6;2.1
"6";2022-12-27;CO_8h;1.1
"6";2022-12-27;NO2;43
"6";2022-12-27;PM10;51
"6";2022-12-27;PM25;36
"7";2022-12-27;NO2;37
"7";2022-12-27;O3;2
